Edge TPU Compiler version 16.0.384591198
Input: yolo11n-cls_saved_model/yolo11n-cls_full_integer_quant.tflite
Output: yolo11n-cls_saved_model/yolo11n-cls_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

MUL                            4          More than one subgraph is not supported
MUL                            32         Mapped to Edge TPU
LOGISTIC                       32         Mapped to Edge TPU
LOGISTIC                       3          More than one subgraph is not supported
SPLIT                          4          For example, a fully-connected or softmax layer with 2D output
SPLIT                          2          Mapped to Edge TPU
TRANSPOSE                      6          More than one subgraph is not supported
TRANSPOSE                      3          Mapped to Edge TPU
PACK                           2          More than one subgraph is not supported
STRIDED_SLICE                  11         Mapped to Edge TPU
RESHAPE                        6          More than one subgraph is not supported
RESHAPE                        5          Mapped to Edge TPU
SOFTMAX                        2          More than one subgraph is not supported
CONCATENATION                  7          Mapped to Edge TPU
CONCATENATION                  1          More than one subgraph is not supported
CONV_2D                        5          More than one subgraph is not supported
CONV_2D                        161        Mapped to Edge TPU
FULLY_CONNECTED                5          More than one subgraph is not supported
ADD                            3          More than one subgraph is not supported
ADD                            7          Mapped to Edge TPU
PAD                            5          Mapped to Edge TPU
MEAN                           1          More than one subgraph is not supported
