epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.9783,0.59055,0.79735,1,0.50411,0.00332565,0.00332565,0.00332565
2,32.703,0.47899,0.85953,1,0.46058,0.00665239,0.00665239,0.00665239
3,46.5885,0.48305,0.78584,1,0.51135,0.00997253,0.00997253,0.00997253
4,60.7564,0.45796,0.82671,1,0.46771,0.0099703,0.0099703,0.0099703
5,74.7903,0.39967,0.86701,1,0.45249,0.0099604,0.0099604,0.0099604
6,89.0105,0.35569,0.92573,1,0.41297,0.0099505,0.0099505,0.0099505
7,103.097,0.32617,0.91192,1,0.41548,0.0099406,0.0099406,0.0099406
8,117.163,0.32331,0.92631,1,0.39612,0.0099307,0.0099307,0.0099307
9,131.129,0.31318,0.9361,1,0.38194,0.0099208,0.0099208,0.0099208
10,144.709,0.29783,0.93552,1,0.38158,0.0099109,0.0099109,0.0099109
11,158.858,0.29866,0.9171,1,0.4009,0.009901,0.009901,0.009901
12,172.633,0.28984,0.9384,1,0.38181,0.0098911,0.0098911,0.0098911
13,186.772,0.28934,0.95567,1,0.36626,0.0098812,0.0098812,0.0098812
14,200.924,0.29361,0.93782,1,0.38173,0.0098713,0.0098713,0.0098713
15,215.238,0.28319,0.95107,1,0.36918,0.0098614,0.0098614,0.0098614
16,230.657,0.27717,0.94128,1,0.38058,0.0098515,0.0098515,0.0098515
17,245.956,0.26915,0.95625,1,0.36421,0.0098416,0.0098416,0.0098416
18,260.961,0.27656,0.94704,1,0.3749,0.0098317,0.0098317,0.0098317
19,275.928,0.27027,0.95279,1,0.36978,0.0098218,0.0098218,0.0098218
20,290.924,0.27465,0.95337,1,0.36648,0.0098119,0.0098119,0.0098119
21,305.812,0.25453,0.95337,1,0.36264,0.009802,0.009802,0.009802
22,320.701,0.26503,0.94934,1,0.37265,0.0097921,0.0097921,0.0097921
23,335.62,0.25748,0.95682,1,0.35813,0.0097822,0.0097822,0.0097822
24,350.891,0.25724,0.95855,1,0.36241,0.0097723,0.0097723,0.0097723
25,365.964,0.26296,0.95912,1,0.35554,0.0097624,0.0097624,0.0097624
26,381.107,0.24935,0.96949,1,0.3532,0.0097525,0.0097525,0.0097525
27,396.222,0.24959,0.95682,1,0.36183,0.0097426,0.0097426,0.0097426
28,411.161,0.24467,0.95682,1,0.36319,0.0097327,0.0097327,0.0097327
29,426.048,0.25,0.96143,1,0.35616,0.0097228,0.0097228,0.0097228
30,441.067,0.25225,0.94991,1,0.36458,0.0097129,0.0097129,0.0097129
31,456.144,0.24564,0.96431,1,0.3538,0.009703,0.009703,0.009703
32,471.35,0.26136,0.97006,1,0.35294,0.0096931,0.0096931,0.0096931
33,486.005,0.24755,0.96373,1,0.35232,0.0096832,0.0096832,0.0096832
34,500.927,0.2431,0.97121,1,0.35057,0.0096733,0.0096733,0.0096733
35,515.857,0.25211,0.96891,1,0.35721,0.0096634,0.0096634,0.0096634
36,530.895,0.24065,0.96776,1,0.35497,0.0096535,0.0096535,0.0096535
37,545.809,0.23939,0.96028,1,0.35816,0.0096436,0.0096436,0.0096436
38,560.91,0.24273,0.96718,1,0.35433,0.0096337,0.0096337,0.0096337
39,575.687,0.24174,0.97237,1,0.34961,0.0096238,0.0096238,0.0096238
40,590.855,0.24421,0.96373,1,0.35878,0.0096139,0.0096139,0.0096139
41,605.745,0.24258,0.96546,1,0.35663,0.009604,0.009604,0.009604
42,620.786,0.23752,0.96718,1,0.35139,0.0095941,0.0095941,0.0095941
43,635.867,0.23351,0.97409,1,0.34228,0.0095842,0.0095842,0.0095842
44,650.92,0.23693,0.96718,1,0.34897,0.0095743,0.0095743,0.0095743
45,665.88,0.24067,0.96431,1,0.35411,0.0095644,0.0095644,0.0095644
46,680.844,0.22932,0.97237,1,0.34917,0.0095545,0.0095545,0.0095545
47,695.791,0.23966,0.97927,1,0.34238,0.0095446,0.0095446,0.0095446
48,711.04,0.22795,0.97006,1,0.34655,0.0095347,0.0095347,0.0095347
49,726.18,0.23639,0.97294,1,0.34692,0.0095248,0.0095248,0.0095248
50,741.296,0.23263,0.97812,1,0.34276,0.0095149,0.0095149,0.0095149
51,756.333,0.23305,0.97524,1,0.3417,0.009505,0.009505,0.009505
52,771.532,0.23103,0.97524,1,0.34299,0.0094951,0.0094951,0.0094951
